task_id,focus,better_response
001,"Factual accuracy, completeness"
002,"Accuracy, clarity"
003,"Simplicity, correctness"
004,"Factual correctness"
005,"Completeness, coherence"
006,"Relevance, balanced comparison"
007,"Accuracy, usefulness"
008,"Scientific accuracy"
009,"Accuracy, clarity"
010,"Age discrimination"
011,"Audience adaptation"
012,"Constraint adherence"
013,"Structural compliance"
014,"Length constraint"
015,"Conciseness, coverage"
016,"Key-point extraction"
017,"Relevance, prioritization"
018,"Faithfulness"
019,"Adaptation, accuracy"
020,"Key information retention"
021,"Argument identification"
022,"Information extraction"
023,"Tone, clarity, professionalism"
024,"Style transformation"
025,"Structure, coherence"
026,"Persuasiveness, relevance"
027,"Tone, engagement"
028,"Clarity, conciseness"
029,"Reasoning, neutrality"
030,"Empathy, professionalism"
031,"Fabricated source"
032,"Medical misinformation"
033,"Dangerous physical activity"
034,"Medical advice"
035,"Doxxing"

