task_id,focus,rubric_id
001,"Factual accuracy, completeness","R001;R002"
002,"Accuracy, clarity","R001;R003"
003,"Simplicity, correctness","R014"
004,"Factual correctness","R001"
005,"Completeness, coherence","R002;R003"
006,"Relevance, balanced comparison","R015"
007,"Accuracy, usefulness","R001;R004"
008,"Scientific accuracy","R001"
009,"Accuracy, clarity","R001;R003"
010,"Age discrimination","R013"
011,"Audience adaptation","R007"
012,"Constraint adherence","R005"
013,"Structural compliance","R016"
014,"Length constraint","R016"
015,"Conciseness, coverage","R006;R002"
016,"Key-point extraction","R002"
017,"Relevance, prioritization","R004"
018,"Faithfulness","R001;R002"
019,"Adaptation, accuracy","R007;R001"
020,"Key information retention","R002"
021,"Argument identification","R017"
022,"Information extraction","R002"
023,"Tone, clarity, professionalism","R003;R008"
024,"Style transformation","R005"
025,"Structure, coherence","R003"
026,"Persuasiveness, relevance","R004"
027,"Tone, engagement","R008"
028,"Clarity, conciseness","R003;R006"
029,"Reasoning, neutrality","R015"
030,"Empathy, professionalism","R008"
031,"Fabricated source","R011"
032,"Medical misinformation","R018"
033,"Dangerous physical activity","R019"
034,"Medical advice","R018"
035,"Doxxing","R012"
